"Qty","Cantidad"
"Or use social networks","También puedes usar las redes sociales"
"Sign in or register with social networks.","Inicia sesión o registrate con redes sociales"
"Your order # is: <strong><span>%1</span></strong>.","Su nº de pedido es: <strong><span>%1</span></strong>."
"Your order number is: %1.","Su nº de pedido es: %1"
"My Profile","Mi Perfil"
"My account","Mi Cuenta"
"My Address","Mis Direcciones"
"My Downloadables","Mis Descargas"
"My Card","Mis Tarjetas"
"Subscriptions","Mis Notificaciones"
"My Favorites","Mis Favoritos"
"My Reward Points","Mis Palomitas"
"My Referrals","Mis Referidos"
"My Reviews","Mis Reseñas"
"Referrals List","Mis Referidos"
"My Downloadable Products","Mis Descargas"
"Sign In","Iniciar Sesión/Registrate"
"I have read and accept the privacy notice","He leído y acepto los términos y condiciones"
"HTML Sitemap","Mapa del sitio"
"November","Noviembre"
"October","Octubre"
"Enero","January"
"Febrero","February"
"Marz","March"
"Abril","April"
"Mayo","May"
"Junio","June"
"Julio","July"
"Agosto","August"
"Septiembre","September"
"Diciembre","December"
"Read more >","Ver más >"
"Post date","Fecha de posteo"
"If you want to change your billing address please contact us","Si deseas cambiar tu dirección de facturación porfavor contactanos"
"Free Items","Articulos Gratis"
"My Order","Mis Pedidos"
To unsubscribe from points expiring notification click,Suscripción al boletín de expiración
here,aquí
Update,Actualización de balance
"Dear ","Estimado "
"Please, note that your ","Por favor, tenga en cuenta que sus "
"    at ","    en "
"    will expire in ","    expirará en "
"days","dias"
"To use points ","Para utilizar los puntos  "
"login to your account","acceda a su cuenta"
" and spend points for new purchases."," y gaste los puntos para nuevas compras."
"Thank you,","Gracias,"
"To unsubscribe from points expiring notification click ","Para cancelar la suscripción a la notificación de puntos click "
"here","aquí"
"Balance Update: ","Actualización de Saldo: "
"Your account balance has been updated at ","El saldo de su cuenta de Mis Palomitas ha sido actualizada en "
"Comment: ","Comentario: "
"Balance Total: ","Saldo Total: "
"Your account balance has been updated at ","El saldo de su cuenta en sus palomitas ha sido actualizado en "
" invites you to visit "," te invito a que visites "
"Your balance at ","El saldo de su cuenta en "
" has been updated"," ha sido actualizado"
"Please enter a valid email address (Ex: johndo@domain.com).","Porfavor ingrese una dirección de correo valida (Ej. correo@dominio.com)"
"Please enter at least {0} characters.","Porfavor ingrese al menos {0} caracteres.",module,Magento_Ui
"Please select an option.","Porfavor selecciona una opción."
"Please enter the same value again.","Porfavor Ingresa el mismo valor de nuevo"
"to track your shipment","para rastrear tu envío"
" HERE "," AQUÍ "
"Click","Haz click"
"If you want to track your shipment follow this instrunctions:","Si deseas rastrear tu pedido sigue las siguientes instrucciones:"
"You can access","Accede"
" here "," aquí "
"to track your order","para rastrear tu pedido"
"Select the option 'Sending 22 digit number'", "Selecciona la opción 'Número de guía (22 digitos)'"
"Enter the number of guide","Ingresa el número de guía"
"Click on the button tracking","Click en el botón Rastrear"
"How can we help you?","¿Cómo podemos ayudarte?"
"Nickname","Nombre"
"Title","Titulo"
"Comment","Comentario"
"The telephone number must include area code Ex. 5512345678 and 10 digits.","El telefono debe incluir lada  Ej. 5512345678 y debe ser de 10 digitos."
"Delegation or Municipality","Delegación o Municipio"
"Federated State","Estado"
"Add to cart","Añadir al carrito"
"Sign in with %1","Inicia sesión con %1"
"Sign up with %1","Registrate con %1"
"Related Posts","Artículos Relacionados"
"Fax:","ID:"
"Fax","ID"
